packet_id	n_blocks	top_mode	mode_margin	signal_strength	block_stability	composition_score	stress_score	matched_state_balance	negative_control_margin	missing_fraction	v_tag	mode_correlation_activation	mode_correlation_suppression	mode_correlation_delay	mode_correlation_persistent_loss	mode_correlation_redirection
F0001	2	activation	0.9920043748146554	0.7443867483389889	1.0	0.14429921645759816	0.15660241056547133	0.9373524189657367	0.4152371423768616	0.0	none	0.976305431097982	-0.976305431097982	-0.2883953242928482	-0.8778745071057591	-0.015698943716673495
F0002	2	activation	0.9940719928356179	0.8462368355855563	1.0	0.16311631756226	0.15911594401597035	0.9353193968169063	0.4920294087815512	0.0	outcome	0.9687579437190702	-0.9687579437190702	-0.2888398706205808	-0.8692307102397054	-0.025314049116547686
F0003	2	activation	1.0106078770304037	0.7316212087290953	1.0	0.1437142293947906	0.14656689176193982	0.9280210994191384	0.42515395348868334	0.0	reversal	0.9597619381995471	-0.9597619381995471	-0.2521628068739072	-0.8737019880494121	-0.05084593883085664
F0004	2	activation	0.9364402041467187	0.7589228362585766	1.0	0.15465918213310528	0.15374817815001016	0.9328413493951258	0.4357594483578783	0.0	rescue	0.9640483849918499	-0.9640483849918499	-0.32821830290424403	-0.8551436838411743	0.0276081808451312
F0005	2	activation	0.9837013625647628	0.7140327779926167	1.0	0.1636248081128447	0.16688176080111466	0.9289064444697341	0.38383753127150505	0.0	replication	0.9724093402993524	-0.9724093402993524	-0.2910578237541601	-0.8753939906194468	-0.011292022265410387
F0006	3	activation	1.0254953378791247	0.6921886672293238	1.0	0.15312920305962827	0.16370502515355556	0.9366044348519744	0.3690261230302093	0.0	none	0.9744906078645804	-0.9744906078645804	-0.27029662348133593	-0.8828380711479863	-0.0510047300145444
F0007	3	activation	1.0459807256500135	0.750578082447312	1.0	0.14940743121395056	0.16554743813628456	0.9378292547499274	0.40980262102017595	0.0	outcome	0.9784192299568356	-0.9784192299568356	-0.21620402225058113	-0.9176603088855663	-0.0675614956931779
F0008	3	activation	1.0215571348776809	0.7693606752975928	1.0	0.14475571658520928	0.15300610717560822	0.9395381962782827	0.4383486362978307	0.0	reversal	0.9757603415573377	-0.9757603415573377	-0.2522597356985235	-0.8937131847095218	-0.04579679332034323
F0009	3	activation	0.9934420806559727	0.7715857661202746	1.0	0.14267081030734524	0.15482149844293788	0.9296835283218985	0.4340518288348506	0.0	rescue	0.9827059535288165	-0.9827059535288165	-0.2910343561830249	-0.8904517706443142	-0.01073612712715619
F0010	3	activation	1.005498972306428	0.7952976584262443	1.0	0.15995004225912035	0.15896299298496605	0.93931784266992	0.44969610940166005	0.0	replication	0.9783925350710213	-0.9783925350710213	-0.2818424880868903	-0.8816565022105536	-0.027106437235406632
