profile	cells	repeats	median_upstream_seconds	iqr_low_upstream_seconds	iqr_high_upstream_seconds	median_event_layer_seconds	iqr_low_event_layer_seconds	iqr_high_event_layer_seconds	median_total_seconds	iqr_low_total_seconds	iqr_high_total_seconds	median_peak_rss_mb	iqr_low_peak_rss_mb	iqr_high_peak_rss_mb
full	10000	5	0.0364368000000467	0.0363312000008591	0.0371433999998771	0.0091912999996566	0.0090712000001076	0.0094191000007413	0.0455788000008396	0.0455696999997599	0.0466317000000344	84.09375	84.09375	84.09375
full	50000	5	0.1879556000003504	0.1838200000001961	0.1888312000000951	0.0260097000000314	0.0254267000000254	0.0272766999996747	0.2143297000002348	0.2118407999996634	0.2152948000002652	94.8125	94.8046875	95.13671875
full	100000	5	0.389396300000044	0.3891461000002891	0.3937991999991936	0.0516846000000441	0.0503122000000075	0.0808532999999442	0.4455475999993723	0.4453944999995656	0.4703134000001228	108.44921875	107.31640625	108.44921875
full	500000	5	1.9888424000000668	1.977063399999679	2.0000005000001693	0.4160584000001108	0.4145092999997359	0.417486899999858	2.406397000000652	2.4033790000003137	2.4161228000002666	210.2578125	210.2578125	210.2578125
full	1000000	5	3.9350743000004513	3.919822799999565	3.981162099999892	0.8697127000004912	0.8136549999999261	0.8837985999998637	4.8048530000005485	4.8036880999998175	4.8903026999996655	339.17578125	339.00390625	339.17578125
