dataset	file_name	source	download_url	local_path	file_size_bytes	file_size_human	status	sha256	error
GSE153056	GSE153056-GPL18573_series_matrix.txt.gz	GEO_series_matrix_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153056/matrix/GSE153056-GPL18573_series_matrix.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE153056\GSE153056-GPL18573_series_matrix.txt.gz	3110	3.04 KB	downloaded	f4d97f5503866934002dd6f8a265b5655ff708ce4ee158d1b2f739123fa3563d	
GSE153056	GSE153056-GPL24676_series_matrix.txt.gz	GEO_series_matrix_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE153nnn/GSE153056/matrix/GSE153056-GPL24676_series_matrix.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE153056\GSE153056-GPL24676_series_matrix.txt.gz	3261	3.18 KB	downloaded	4f47cdc4196d7dd31fff366bde49835b5ce078231be73ba1f29c3a7168012dcf	
GSE90546	GSE90546_geo_page.html	GEO_HTML	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90546	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\metadata\GSE90546\GSE90546_geo_page.html	30573	29.86 KB	downloaded	d125b1bea73393be13ce3e14fb51beaabf5f88fdbc007f1e3255a87aaed0ad2d	
GSE90546	GSE90546-GPL16791_series_matrix.txt.gz	GEO_series_matrix_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90546/matrix/GSE90546-GPL16791_series_matrix.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE90546\GSE90546-GPL16791_series_matrix.txt.gz	2834	2.77 KB	downloaded	19224c7cfbc3c275844f9ee8fc6de3b0c62670e4eee3eda6f438af946f09f406	
GSE90546	GSE90546-GPL20301_series_matrix.txt.gz	GEO_series_matrix_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90546/matrix/GSE90546-GPL20301_series_matrix.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE90546\GSE90546-GPL20301_series_matrix.txt.gz	2638	2.58 KB	downloaded	121d73c318a74b0152401800f67e14f8871738cc4dc2a716f542338db819aeb8	
GSE90063	GSE90063_geo_page.html	GEO_HTML	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90063	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\metadata\GSE90063\GSE90063_geo_page.html	29176	28.49 KB	downloaded	756237b7d2d016da5134388c5210e1c9278b33fdaef4e15378aa2db1f7e20116	
GSE90063	GSE90063_dc0hr_umi_wt.txt.gz	GEO_supplemental_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90063/suppl/GSE90063_dc0hr_umi_wt.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE90063\GSE90063_dc0hr_umi_wt.txt.gz	3341607	3.19 MB	downloaded	5bb10d5c69c4a933a1777089c7d15fe91e60e79bece437b3112c301b13b0971c	
GSE90063	GSE90063_dc3hr_umi_wt.txt.gz	GEO_supplemental_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90063/suppl/GSE90063_dc3hr_umi_wt.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE90063\GSE90063_dc3hr_umi_wt.txt.gz	2046794	1.95 MB	downloaded	12b6fbbd685442183f43813c7e7158b4692b013c1dbfe87e25ff9248919d1bd1	
GSE90063	GSE90063_k562_umi_wt.txt.gz	GEO_supplemental_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90063/suppl/GSE90063_k562_umi_wt.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE90063\GSE90063_k562_umi_wt.txt.gz	8813896	8.41 MB	downloaded	51ddb6e753a435c060ae542e5a20d3e3afea61ff83289016934d851a70e36f19	
GSE90063	GSE90063-GPL18573_series_matrix.txt.gz	GEO_series_matrix_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90063/matrix/GSE90063-GPL18573_series_matrix.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE90063\GSE90063-GPL18573_series_matrix.txt.gz	2144	2.09 KB	downloaded	9bc80556500dcad2288e61de0fef21ae410b42a8433771265caf077e9bdeeadf	
GSE90063	GSE90063-GPL19057_series_matrix.txt.gz	GEO_series_matrix_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE90nnn/GSE90063/matrix/GSE90063-GPL19057_series_matrix.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE90063\GSE90063-GPL19057_series_matrix.txt.gz	2042	1.99 KB	downloaded	e1f261d27ef1784dd37c9a4c285348616001b8e06f6e722c511bff86b04b7d1a	
GSE133344	GSE133344_geo_page.html	GEO_HTML	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE133344	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\metadata\GSE133344\GSE133344_geo_page.html	32975	32.20 KB	downloaded	db3c203977b38064b1c67aa8dac928ac45826144821c61794261691d6007a1df	
GSE133344	GSE133344_filtered_barcodes.tsv.gz	GEO_supplemental_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133344/suppl/GSE133344_filtered_barcodes.tsv.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE133344\GSE133344_filtered_barcodes.tsv.gz	429928	419.85 KB	downloaded	49529cff274aada5757e0b5ce320133437282398a22af14afc314e16eecade66	
GSE133344	GSE133344_filtered_cell_identities.csv.gz	GEO_supplemental_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133344/suppl/GSE133344_filtered_cell_identities.csv.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE133344\GSE133344_filtered_cell_identities.csv.gz	1956905	1.87 MB	downloaded	daf30337e7f6f07096d57e0d81db784bef00c87bd1fc927f018792c2f7af81e4	
GSE133344	GSE133344_filtered_genes.tsv.gz	GEO_supplemental_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133344/suppl/GSE133344_filtered_genes.tsv.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE133344\GSE133344_filtered_genes.tsv.gz	264791	258.58 KB	downloaded	0dcba3cf4f3095b3fc1fa31b402c562bca7eea8d7d9ffd753e7b446dc37b9e3d	
GSE133344	GSE133344_raw_cell_identities.csv.gz	GEO_supplemental_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133344/suppl/GSE133344_raw_cell_identities.csv.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE133344\GSE133344_raw_cell_identities.csv.gz	2242992	2.14 MB	downloaded	89f01e955a1452ea8c0c7c5b1a44772a1da9199e33fb3a86b0e1eacf067b7423	
GSE133344	GSE133344_series_matrix.txt.gz	GEO_series_matrix_FTP	https://ftp.ncbi.nlm.nih.gov/geo/series/GSE133nnn/GSE133344/matrix/GSE133344_series_matrix.txt.gz	G:\pyfgsea\data_external\ted_upgrade_candidate_audit\downloads\GSE133344\GSE133344_series_matrix.txt.gz	3735	3.65 KB	downloaded	9d645ac29c3cc5806b9ff4365e65bf776b5bc107cfc371fd0d624870111b70e7	
