method	status	exit_code	runtime_seconds	command	log	completed_utc
tradeSeq	executed	0	10.019	Rscript /workspace/scripts/baselines/run_tradeseq_baseline.R --expression /workspace/data_external/ted_development_phase4_benchmark/direct_external_baseline/direct_baseline_toy_expression.tsv --metadata /workspace/data_external/ted_development_phase4_benchmark/direct_external_baseline/direct_baseline_toy_metadata.tsv --outdir /workspace/data_external/ted_development_phase4_benchmark/direct_external_baseline	data_external/ted_development_phase4_benchmark/direct_external_baseline/tradeSeq.log	2026-05-16T05:09:05.215319+00:00
GSVA_AUCell	executed	0	8.343	Rscript /workspace/scripts/baselines/run_gsva_aucell_baseline.R --expression /workspace/data_external/ted_development_phase4_benchmark/direct_external_baseline/direct_baseline_toy_expression.tsv --outdir /workspace/data_external/ted_development_phase4_benchmark/direct_external_baseline	data_external/ted_development_phase4_benchmark/direct_external_baseline/GSVA_AUCell.log	2026-05-16T05:09:13.558800+00:00
POT_OT	executed	0	1.559	/opt/conda/bin/python /workspace/scripts/baselines/run_pot_ot_baseline.py --expression /workspace/data_external/ted_development_phase4_benchmark/direct_external_baseline/direct_baseline_toy_expression.tsv --metadata /workspace/data_external/ted_development_phase4_benchmark/direct_external_baseline/direct_baseline_toy_metadata.tsv --outdir /workspace/data_external/ted_development_phase4_benchmark/direct_external_baseline	data_external/ted_development_phase4_benchmark/direct_external_baseline/POT_OT.log	2026-05-16T05:09:15.118011+00:00
