axis	target_gene	n_cells	mean_score	control_mean_score	effect_size_vs_control	p_value	q_value	direction	block_support	direction_stability
immune_evasion_antigen_presentation	A2M	1331	0.04021010761111495	0.011949931393641202	0.028260176217473752	0.11549141287142133	0.4631349555421342	up	0.6666666666666666	0.6666666666666666
immune_evasion_antigen_presentation	ACSL3	596	0.0016649615116183468	0.011949931393641202	-0.010284969882022856	0.7087254880161391	0.8790682629095308	down	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	ACTA2	1458	0.02547053193532236	0.011949931393641202	0.013520600541681157	0.44034634172044207	0.785173734919336	up	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	AEBP1	1302	-0.00033179850181291534	0.011949931393641202	-0.012281729895454117	0.5040693006800212	0.8025208507454192	down	1.0	1.0
immune_evasion_antigen_presentation	AGA	1116	0.03614721234573365	0.011949931393641202	0.024197280952092448	0.22217623831785283	0.6059288722833485	up	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	AHCY	88	0.04763490285695331	0.011949931393641202	0.03568497146331211	0.6156714299160972	0.8414176208853329	up	1.0	1.0
immune_evasion_antigen_presentation	AHNAK	1058	0.005434576036914177	0.011949931393641202	-0.006515355356727025	0.7503865342735465	0.8922643333483653	down	0.6666666666666666	0.6666666666666666
immune_evasion_antigen_presentation	APOC2	1137	-0.0024004277720782985	0.011949931393641202	-0.0143503591657195	0.4436550778609256	0.785173734919336	down	0.6666666666666666	0.6666666666666666
immune_evasion_antigen_presentation	APOD	1113	0.03725535097913081	0.011949931393641202	0.02530541958548961	0.19625892428757405	0.5747582782707525	up	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	APOE	1127	0.03495435018044748	0.011949931393641202	0.02300441878680628	0.23826932183735053	0.6130227780431138	up	0.6666666666666666	0.6666666666666666
immune_evasion_antigen_presentation	ARMC6	907	0.026676524072752936	0.011949931393641202	0.014726592679111734	0.4857134018395455	0.7948422832870259	up	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	ATP1A1	47	0.1224009936027922	0.011949931393641202	0.110451062209151	0.22902121817245655	0.6059288722833485	up	0.6666666666666666	0.6666666666666666
immune_evasion_antigen_presentation	ATP1B1	1122	-0.030381554697146353	0.011949931393641202	-0.04233148609078755	0.030425436276643306	0.20359922091333493	down	1.0	1.0
immune_evasion_antigen_presentation	ATP5MD	610	0.005244603484703004	0.011949931393641202	-0.006705327908938198	0.7954273644079219	0.9273702921533118	down	1.0	1.0
immune_evasion_antigen_presentation	B2M	1379	-0.036486763853756744	0.011949931393641202	-0.048436695247397944	0.005983809661417416	0.0774745882478255	down	1.0	1.0
immune_evasion_antigen_presentation	BOLA2	683	0.02593730913617149	0.011949931393641202	0.013987377742530288	0.5621906597918312	0.8183919900335981	up	0.0	0.0
immune_evasion_antigen_presentation	BOLA2B	678	-0.03214490156929651	0.011949931393641202	-0.04409483296293771	0.08306691942078669	0.4086892435502705	down	1.0	1.0
immune_evasion_antigen_presentation	BZW2	973	0.034453244570201096	0.011949931393641202	0.022503313176559896	0.29420922420066487	0.6977950004210387	up	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	C19orf48	1126	0.04054631654598056	0.011949931393641202	0.02859638515233936	0.14523790405938952	0.4961731684055671	up	0.0	0.0
immune_evasion_antigen_presentation	C1QBP	673	0.041794783297802826	0.011949931393641202	0.029844851904161626	0.21659417609755513	0.6054791740908928	up	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	C6orf226	1015	0.026131557930121938	0.011949931393641202	0.014181626536480736	0.4870932531253216	0.7948422832870259	up	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	CCND1	643	-0.006833327872786418	0.011949931393641202	-0.01878325926642762	0.49813352991461524	0.8009205775097735	down	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	CCND2	1015	0.03918030263934499	0.011949931393641202	0.027230371245703787	0.17837345646513925	0.5484983786303033	up	0.6666666666666666	0.6666666666666666
immune_evasion_antigen_presentation	CCR10	988	0.022626946025904003	0.011949931393641202	0.010677014632262801	0.5979905439036763	0.821819406705611	up	0.0	0.0
immune_evasion_antigen_presentation	CCT3	190	0.061027386887555296	0.011949931393641202	0.049077455493914096	0.3087794210116162	0.6977950004210387	up	0.6666666666666666	0.6666666666666666
immune_evasion_antigen_presentation	CCT6A	56	0.03405917730236473	0.011949931393641202	0.022109245908723534	0.8046229723678372	0.9292828694952485	up	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	CD151	998	0.011055130208608698	0.011949931393641202	-0.0008948011850325038	0.9654666052288573	0.9980101242219315	down	1.0	1.0
immune_evasion_antigen_presentation	CD274	1222	0.002034094482108542	0.011949931393641202	-0.00991583691153266	0.5903188778152471	0.8215917932326379	down	1.0	1.0
immune_evasion_antigen_presentation	CD44	1193	0.04074236847977919	0.011949931393641202	0.02879243708613799	0.13107439771450294	0.4741809093789371	up	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	CD47	1033	0.009790559126000074	0.011949931393641202	-0.0021593722676411277	0.91441555903414	0.9865483647002133	down	0.6666666666666666	0.6666666666666666
immune_evasion_antigen_presentation	CD58	1166	0.08401605334954605	0.011949931393641202	0.07206612195590485	0.00013409400124961025	0.0027489270256170102	up	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	CD59	1238	0.043768090113188496	0.011949931393641202	0.031818158719547296	0.07805382740113714	0.3918620722587702	up	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	CD63	864	0.04245055153447862	0.011949931393641202	0.030500620140837417	0.16722739590661095	0.5342589531561857	up	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	CDC123	320	0.012777305471328982	0.011949931393641202	0.0008273740776877803	0.9811939997718249	0.9980101242219315	up	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	CDH19	1175	0.0019318797768336567	0.011949931393641202	-0.010018051616807544	0.5943779409825494	0.8215917932326379	down	1.0	1.0
immune_evasion_antigen_presentation	CDK4	828	0.015680267559249058	0.011949931393641202	0.0037303361656078563	0.8682895210899616	0.9578440456866841	up	0.6666666666666666	0.6666666666666666
immune_evasion_antigen_presentation	CDK6	414	0.03445876281898728	0.011949931393641202	0.022508831425346078	0.4806773413730303	0.7948422832870259	up	0.6666666666666666	0.6666666666666666
immune_evasion_antigen_presentation	CDKN1A	1049	-0.01322092708820247	0.011949931393641202	-0.025170858481843673	0.2115081734973287	0.60501175209701	down	1.0	1.0
immune_evasion_antigen_presentation	CDKN2A	888	0.03184521412591742	0.011949931393641202	0.01989528273227622	0.3459193629730374	0.704279537850882	up	0.0	0.0
immune_evasion_antigen_presentation	CDKN2B	983	-0.0021887419280848175	0.011949931393641202	-0.014138673321726018	0.4910325896872535	0.7948422832870259	down	1.0	1.0
immune_evasion_antigen_presentation	CGAS	767	0.034319654642820135	0.011949931393641202	0.022369723249178936	0.31820325279175193	0.6977950004210387	up	0.0	0.0
immune_evasion_antigen_presentation	CHCHD2	1016	0.04419525656348831	0.011949931393641202	0.03224532516984711	0.11065366911412393	0.4613695356283811	up	0.0	0.0
immune_evasion_antigen_presentation	CITED1	1109	-0.0006126567383526454	0.011949931393641202	-0.012562588131993848	0.5309307656607907	0.8025208507454192	down	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	CKS1B	965	-0.002982888331537503	0.011949931393641202	-0.014932819725178705	0.47340855158261375	0.7948422832870259	down	1.0	1.0
immune_evasion_antigen_presentation	CMSS1	995	0.05258476777860838	0.011949931393641202	0.04063483638496718	0.0441449847023288	0.25106014274846944	up	0.3333333333333333	0.3333333333333333
immune_evasion_antigen_presentation	CORO1A	898	-0.04632843948080437	0.011949931393641202	-0.05827837087444557	0.007017189650474683	0.0863114327008386	down	1.0	1.0
immune_evasion_antigen_presentation	CSPG4	1195	0.006006323593494928	0.011949931393641202	-0.005943607800146274	0.7487806020166947	0.8922643333483653	down	1.0	1.0
immune_evasion_antigen_presentation	CST3	690	0.02998488730162835	0.011949931393641202	0.01803495590798715	0.4737303663929634	0.7948422832870259	up	0.6666666666666666	0.6666666666666666
immune_evasion_antigen_presentation	CTPS1	421	0.07924892359204172	0.011949931393641202	0.06729899219840052	0.024473719966330767	0.1832222061041322	up	1.0	1.0
immune_evasion_antigen_presentation	CTSA	947	-0.02423567242641135	0.011949931393641202	-0.03618560382005255	0.09143136711361845	0.4125975252316029	down	1.0	1.0
immune_evasion_antigen_presentation	CTSB	1086	0.023188710356628093	0.011949931393641202	0.011238778962986891	0.5639047429490337	0.8183919900335981	up	0.0	0.0
immune_evasion_antigen_presentation	CTSD	1217	0.008663332521480811	0.011949931393641202	-0.0032865988721603907	0.8613777866544081	0.9578440456866841	down	1.0	1.0
